"Periodo","cvegeo","Entidad_federativa","Porcentaje_de_población_que_tardaría_menos_de_dos_horas_en_llegar_a_un_hospital_en_caso_de_una_emergencia,_por_desglose_geográfico",
"2022",	00,"Estados Unidos Mexicanos","NA",
"2022",	01,"Aguascalientes","98.0592",
"2022",	02,"Baja California","97.182",
"2022",	03,"Baja California Sur","96.84866",
"2022",	04,"Campeche","88.4501",
"2022",	05,"Coahuila de Zaragoza","98.53529",
"2022",	06,"Colima","98.75531",
"2022",	07,"Chiapas","80.93733",
"2022",	08,"Chihuahua","94.35223",
"2022",	09,"Ciudad de México","95.19518",
"2022",	10,"Durango","88.7737",
"2022",	11,"Guanajuato","97.04322",
"2022",	12,"Guerrero","85.0762",
"2022",	13,"Hidalgo","91.49722",
"2022",	14,"Jalisco","96.10691",
"2022",	15,"México","94.88921",
"2022",	16,"Michoacán de Ocampo","92.44186",
"2022",	17,"Morelos","97.19524",
"2022",	18,"Nayarit","92.80149",
"2022",	19,"Nuevo León","95.03484",
"2022",	20,"Oaxaca","76.5946",
"2022",	21,"Puebla","92.55842",
"2022",	22,"Querétaro","93.63765",
"2022",	23,"Quintana Roo","95.44034",
"2022",	24,"San Luis Potosí","91.69169",
"2022",	25,"Sinaloa","97.37595",
"2022",	26,"Sonora","97.48464",
"2022",	27,"Tabasco","92.51674",
"2022",	28,"Tamaulipas","97.67304",
"2022",	29,"Tlaxcala","97.06297",
"2022",	30,"Veracruz de Ignacio de la Llave","91.72331",
"2022",	31,"Yucatán","91.34447",
"2022",	32,"Zacatecas","93.81326",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","98.36105",
"2020",	02,"Baja California","98.20604",
"2020",	03,"Baja California Sur","96.96444",
"2020",	04,"Campeche","92.03418",
"2020",	05,"Coahuila de Zaragoza","98.05065",
"2020",	06,"Colima","98.5307",
"2020",	07,"Chiapas","82.99896",
"2020",	08,"Chihuahua","94.77152",
"2020",	09,"Ciudad de México","96.40879",
"2020",	10,"Durango","93.60154",
"2020",	11,"Guanajuato","96.44423",
"2020",	12,"Guerrero","86.30786",
"2020",	13,"Hidalgo","92.38585",
"2020",	14,"Jalisco","95.97069",
"2020",	15,"México","95.35358",
"2020",	16,"Michoacán de Ocampo","94.59258",
"2020",	17,"Morelos","98.47743",
"2020",	18,"Nayarit","95.4558",
"2020",	19,"Nuevo León","96.13305",
"2020",	20,"Oaxaca","81.18137",
"2020",	21,"Puebla","90.20425",
"2020",	22,"Querétaro","94.88992",
"2020",	23,"Quintana Roo","95.10959",
"2020",	24,"San Luis Potosí","89.77007",
"2020",	25,"Sinaloa","99.00563",
"2020",	26,"Sonora","96.03998",
"2020",	27,"Tabasco","93.24106",
"2020",	28,"Tamaulipas","97.52412",
"2020",	29,"Tlaxcala","97.57557",
"2020",	30,"Veracruz de Ignacio de la Llave","91.2088",
"2020",	31,"Yucatán","92.82341",
"2020",	32,"Zacatecas","93.20641",
"2018",	00,"Estados Unidos Mexicanos","NA",
"2018",	01,"Aguascalientes","97.90126",
"2018",	02,"Baja California","97.51042",
"2018",	03,"Baja California Sur","97.75581",
"2018",	04,"Campeche","92.98651",
"2018",	05,"Coahuila de Zaragoza","97.20515",
"2018",	06,"Colima","99.12985",
"2018",	07,"Chiapas","76.11384",
"2018",	08,"Chihuahua","93.47649",
"2018",	09,"Ciudad de México","96.07724",
"2018",	10,"Durango","94.90849",
"2018",	11,"Guanajuato","96.76773",
"2018",	12,"Guerrero","85.82208",
"2018",	13,"Hidalgo","88.93445",
"2018",	14,"Jalisco","93.60759",
"2018",	15,"México","95.26686",
"2018",	16,"Michoacán de Ocampo","95.66555",
"2018",	17,"Morelos","95.86793",
"2018",	18,"Nayarit","92.69812",
"2018",	19,"Nuevo León","95.68396",
"2018",	20,"Oaxaca","76.84914",
"2018",	21,"Puebla","90.30335",
"2018",	22,"Querétaro","95.02393",
"2018",	23,"Quintana Roo","94.52486",
"2018",	24,"San Luis Potosí","88.91086",
"2018",	25,"Sinaloa","98.53309",
"2018",	26,"Sonora","96.58765",
"2018",	27,"Tabasco","91.76469",
"2018",	28,"Tamaulipas","96.87302",
"2018",	29,"Tlaxcala","97.15441",
"2018",	30,"Veracruz de Ignacio de la Llave","90.48026",
"2018",	31,"Yucatán","92.60347",
"2018",	32,"Zacatecas","93.48559",
"2016",	00,"Estados Unidos Mexicanos","NA",
"2016",	01,"Aguascalientes","98.198",
"2016",	02,"Baja California","97.07084",
"2016",	03,"Baja California Sur","97.16135",
"2016",	04,"Campeche","95.23889",
"2016",	05,"Coahuila de Zaragoza","97.26835",
"2016",	06,"Colima","98.91232",
"2016",	07,"Chiapas","83.98186",
"2016",	08,"Chihuahua","92.147",
"2016",	09,"Ciudad de México","97.21926",
"2016",	10,"Durango","93.89946",
"2016",	11,"Guanajuato","96.43937",
"2016",	12,"Guerrero","87.38994",
"2016",	13,"Hidalgo","94.13746",
"2016",	14,"Jalisco","96.86957",
"2016",	15,"México","95.08602",
"2016",	16,"Michoacán de Ocampo","96.04516",
"2016",	17,"Morelos","96.6779",
"2016",	18,"Nayarit","94.73909",
"2016",	19,"Nuevo León","95.40599",
"2016",	20,"Oaxaca","79.20322",
"2016",	21,"Puebla","94.08897",
"2016",	22,"Querétaro","93.98631",
"2016",	23,"Quintana Roo","96.12738",
"2016",	24,"San Luis Potosí","90.08417",
"2016",	25,"Sinaloa","97.84334",
"2016",	26,"Sonora","96.22267",
"2016",	27,"Tabasco","94.11627",
"2016",	28,"Tamaulipas","98.00505",
"2016",	29,"Tlaxcala","96.77998",
"2016",	30,"Veracruz de Ignacio de la Llave","88.7168",
"2016",	31,"Yucatán","93.19694",
"2016",	32,"Zacatecas","94.39873",
